Id,Division,IsCompagnons,GuestId,Team
96d80b42aa34ab7418ae673a051a285691ea648089d1012f5651df75314f0513,BIS Grand Sud,OUI,,
1178009959ba287512243d4de67893914ccd19515831eec6ca3a8e523f9a808f,BIS Grand Ouest,NON,,
906840a0493453c7873424c41f9c2c1584ef3b85970915d656041af885d4e2b8,BIS Grand Sud,NON,,
0cb1737571608a17859142c79c78a5628f7228ec4b8fac207043bb7f1569ee41,MBU CEDE,NON,,
93769e39413175bd1c083b65f4a95f6a489da6d872984e4b87d1e3da1b108d21,BIS Grand Ouest,NON,,
744f0702b03293e92fdaea18d1ad04eabbc9a15c7176cf77f6323d5cbd8e8da3,Transport,NON,,
5b842844a051a2f9f07afbbf7289a6d092fdad66aa1fa8dd373e9aecdceb0cd90ae19c71ef1300bd4713e5ac574288fb,BIS Grand Ouest,NON,,
3380659721ed185d9f97c0a460c7767282b1c728d79caa79b6409cc3ffde369b,"Infra Ener, Défense Marine Aéronautique, Ingénierie",NON,,
6f876cddaf41aea3144239bced8ff4aaf7e8575a68ed4a82c3bf17fd2bf856ab,Villes & Territoires Connectés,NON,,
2d0069251e43615337ba46cda705cae32f8cdda3285bef1f2554ad118f4e8977,Transport,NON,,
84f7fffe2921cd4ebbda6f464cabcaf7db6ce56f34758e6bb690b7ae468506f7,"Infra Ener, Défense Marine Aéronautique, Ingénierie",NON,,
e3ce964638a769d7e9c5de850725d88bd3e515ebab2a715df4f22ea0c890d03f27b1765ed2734b850b44eb4fad125a8d,BIS Ile de France,NON,,
97912c8b8a1203e6b1a6f55fc569331a305dceeddbd2fa7050d7d15f96db1c3e,BIS Ile de France,NON,,
ed7e9fe86279d23efecf80247e0d7fcc95c3ef32b7ad135a7464768b88bbb91d,BIS Nord & Est,NON,,
1f6510fcbb0c9f656295aa9e019ced210c485cdd5fa2452323990d9b3a29e803,Villes & Territoires Connectés,NON,,
30d721148c9bc01362948361c115a74460fe1487b43de6aaf0214fc89a2dac1f,BIS Nord & Est,NON,,
f0519d36c36368ad688ad51ae0dcdcba9386217268f15c9bb04ad3e5cd5fff75,Villes & Territoires Connectés,NON,,
04627c047653eeaad6bb64763b561ff85c73506fd6244efcc37ee42f2384e8a4,BIS Nord & Est,NON,,
083e02d24d84128d22ae2ac3fbf6e4cb27c4bc3f03f240bdbd900da667a57184,Villes & Territoires Connectés,NON,,
ccdc8a90b2f41076c65b71c96f7c4bbfd51eff77416984929858bb00913970eb,Villes & Territoires Connectés,NON,,
5a2afac9ab63fd063c263921efdd87a6bd4e2486c96cd94dc10f13123f547c5d,BIS Services Bâtiments & Infrastructures,NON,,
cfe86fcf195ffe7a8bd5ec4bffa66724e131ada0133d10f63e1eeee5d2e06f27,Equans France Direction Ressources Humaines,NON,,
39afe6008d2ee5812f84430578db8621f4813ef323cc46f4bfed1174d859c4c7,BIS Services Bâtiments & Infrastructures,NON,,
